130.925
(101,1),2
(100,1),1
(99,2),1
(98,3),2
(98,4),2
(97,5),1
(96,6),1
(95,6),1
(94,6),1
(93,6),1
(92,6),1
(91,6),1
(90,6),1
(89,6),1
(88,6),1
(87,7),1
(86,8),1
(85,9),1
(84,10),1
(83,11),1
(82,12),1
(82,13),1
(81,14),1
(80,15),1
(80,16),1
(79,17),1
(78,18),1
(78,19),1
(77,20),b
(77,21),b
(77,22),a
(76,23),1
(76,24),1
(75,25),1
(74,26),1
(73,26),1
(72,27),1
(71,27),1
(70,28),1
(69,29),1
(68,30),2
(67,31),1
(66,32),1
(65,32),2
(64,33),1
(63,34),2
(62,35),1
(62,36),1
(61,37),1
(60,38),2
(59,39),1
(58,40),a
(58,41),b
(58,42),b
(58,43),b
(58,44),b
(58,45),b
(58,46),b
(58,47),a
(58,48),a
(58,49),b
(58,50),a
(58,51),b
(58,52),a
(58,53),a
(58,54),b
(58,55),a
(58,56),b
(58,57),a
(58,58),b
(58,59),a
(58,60),a
(58,61),a
(58,62),a
(58,63),a
(58,64),a
(58,65),a
(58,66),b
(58,67),a
(58,68),b
(58,69),a
(58,70),a
(58,71),a
(58,72),a
(58,73),b
(58,74),b
(58,75),a
(58,76),a
(58,77),a
(58,78),a
(58,79),a
(58,80),b
(58,81),a
(58,82),a
(58,83),b
(58,84),b
(58,85),b
(58,86),b
(58,87),b
(58,88),a
(58,89),b
(58,90),b
(58,91),b
(58,92),a
(58,93),b
(58,94),b
(58,95),b
(58,96),b
(58,97),b
(58,98),b
(58,99),b
(58,100),b
(58,101),a
(58,102),b
(58,103),b
(58,104),b
(58,105),a
(58,106),b
(58,107),a
(58,108),a
(58,109),a
(58,110),b
(58,111),b
(58,112),b
(58,113),b
(58,114),b
(58,115),b
(58,116),a
(58,117),b
(58,118),b
(58,119),b
(58,120),b
(58,121),a
(58,122),b
(58,123),b
(58,124),b
(58,125),b
(58,126),b
(58,127),b
(58,128),b
(58,129),b
(58,130),b
(58,131),a
(58,132),b
(58,133),b
(58,134),a
(58,135),b
(58,136),b
(58,137),b
(58,138),b
(58,139),b
(58,140),b
(57,140),a
(56,140),a
(55,140),b
(54,140),b
(53,140),b
(52,140),b
(51,140),b
(50,140),b
(49,140),b
(48,140),b
(47,140),a
(46,140),b
(45,140),a
(44,140),a
(43,140),a
(42,140),a
(41,140),a
(40,140),a
(39,140),b
(38,140),b
(37,140),a
(36,140),a
(35,140),a
(34,140),b
(33,140),b
(32,140),b
(31,140),a
(30,140),a
(29,140),a
(28,140),a
(27,140),a
(26,140),a
(25,140),a
(24,140),a
(23,140),a
(22,140),a
(21,140),a
(20,140),a
(19,140),a
(18,140),a
(17,140),a
(16,140),a
(15,140),a
(14,140),a
(13,140),a
(12,140),a
(11,140),a
(10,140),a
(9,140),a
(8,140),a
(7,140),a
(6,140),a
(5,140),a
(4,140),a
(3,140),a
(2,140),a
(1,141),1
